News_Source,Title,Source_URL,Publish_Date,Category,Summary,Scrape_Date
Utusan Malaysia,Kebenaran pelepasan barangan non-essential bermula esok - Utusan Malaysia,https://www.utusan.com.my/covid-19/2021/06/kebenaran-pelepasan-barangan-non-essential-bermula-esok/,2021-06-17,,"PUTRAJAYA:  Kerajaan membenarkan pelepasan barangan ( loading dan unloading ) bukan keperluan oleh pengeksport dan pengimport bermula esok bagi memastikan pergerakan barang tidak terjejas ketika musim pandemik Covid-19.

Menteri Pengangkutan, Datuk Seri Wee Ka Siong, kementerian menyambut baik keputusan Majlis Keselamatan Negara (MKN) membenarkan pelepasan barangan dari pukul 8 pagi hingga 8 malam pada hari Isnin, Rabu, dan Jumaat bermula esok.

Menurutnya, kebenaran aktiviti adalah terhad kepada loading dan unloading kargo ke atau dari kilang, pelabuhan dan lapangan terbang bagi tujuan eksport dan import.

“Ia meliputi pelepasan, perancangan, pergerakan barang, operasi forklift, memuat dan memunggah.

“Pengeksport, pengimport, dan pengendali gudang boleh mendapatkan kebenaran Polis Diraja Malaysia (PDRM) di balai polis terdekat dengan mengemukakan dokumen lengkap yang berkaitan sebagai bukti seperti invois, bil muatan, senarai pembungkusan, dan lain-lain yang berkaitan ,” katanya menerusi kenyataan akhbar, hari ini.

Menurut Ka Siong, senarai nama pekerja yang terlibat untuk melaksanakannya juga perlu dilampirkan dan bilangan pekerja yang dibenarkan adalah terhad dan perlu mematuhi prosedur operasi standard (SOP) yang berkaitan.

“Kelulusan daripada PDRM ini boleh digunakan sebagai kebenaran perjalanan bagi pekerja di sekatan jalan raya (SJR) dan perlu ditunjukkan kepada pihak berkuasa jika diperlukan semasa loading dan unloading tersebut dilaksanakan,” katanya.

Beliau  berkata, operasi itu juga membolehkan pergerakan barangan non-essential (terhad kepada stok sedia ada) untuk pengimportan dan pengeksportan ke negara-negara jiran.

“Bagi operasi untuk barangan essential yang memperoleh pengesahan pendaftaran daripada MITI, ia boleh diteruskan seperti biasa dan tidak tertakluk kepada perkara ini.

“Keputusan ini diambil setelah menimbangkan keperluan bagi menangani pandemik Covid-19 dan memastikan pergerakan barang tidak terjejas yang pastinya akan mengganggu pasaran konvensional termasuk aktiviti edagang,” katanya.

Katanya, Kementerian Pengangkutan  melaksanakan kaedah sama semasa penguatkuasaan PKP 1.0 pada awal tahun lalu supaya dapat menjamin kelancaran pergerakan barangan.",2025-08-08
Utusan Malaysia,Kepentingan sekuriti makanan negara - Pemangku Raja Perlis - Utusan Malaysia,https://www.utusan.com.my/nasional/2023/07/kepentingan-sekuriti-makanan-negara-pemangku-raja-perlis/,2023-07-06,,"KANGAR: Pemangku Raja Perlis, Tuanku Syed Faizuddin Putra Jamalullail menitahkan bahawa isu kekurangan bekalan memerlukan kepentingan melaksanakan sekuriti makanan negara.

Titah baginda, antara tunggak bagi sekuriti makanan adalah ketersediaan makanan iaitu ketersediaan kuantiti makanan yang mencukupi dan berkualiti yang dibekalkan melalui pengeluaran domestik atau import.

“Kedua, akses makanan iaitu akses kepada sumber makanan yang mencukupi oleh individu. Ketiga pula penggunaan iaitu penggunaan ke atas makanan yang lengkap adalah secara berterusan dan mudah diperolehi serta mempunyai sumber air yang bersih.

“Selain daripada itu, keempat iaitu kestabilan iaitu untuk memastikan sekuriti makanan, individu atau isi rumah mempunyai akses untuk makanan pada sepanjang masa,” titah baginda selepas berkenan menyampaikan sumbangan berjumlah RM5,000 kepada Pejabat Konsulat Jeneral Malaysia di Medan, Indonesia baru-baru ini.

Sumbangan berkenaan adalah untuk tujuan Tabung Ibnu Sabil bagi kegunaan rakyat Malaysia yang dalam kesusahan di Sumatera Utara untuk diamanahkan melalui budi bicara pihak pejabat konsulat itu.

Turut berangkat, Raja Puan Muda Perlis, Tuanku Dr. Hajah Lailatul Shahreen Akashah Khalil bersama-sama anakanda-anakanda baginda berdua, Sharifah Khatreena Nuraniah, Sharifah Farah Adriana dan Syed Sirajuddin Areeb Putra Jamalullail.",2025-08-08
Utusan Malaysia,40% pelajar luar bandar ponteng PdPR - Utusan Malaysia,https://www.utusan.com.my/nasional/2021/05/40-pelajar-luar-bandar-ponteng-pdpr/,2021-05-25,,"PETALING JAYA: Kira-kira 20 peratus murid di kawasan bandar manakala 40 peratus di luar bandar tidak dapat mengikuti sesi pengajaran dan pembelajaran di rumah (PdPR) sekali gus diklasifikasi sebagai ‘ponteng’ disebabkan masalah capaian internet atau tiada peranti. Perkara itu didedahkan Presiden Majlis Permuafakatan Persatuan Ibu Bapa dan Guru Nasional (PIBGN), Prof.",2025-08-08
Utusan Malaysia,Tanggapan rakyat tentang merdeka masih klise,https://www.utusan.com.my/rencana/forum/2022/09/tanggapan-rakyat-tentang-merdeka-masih-klise/,2022-09-02,,"SAUDARA PENGARANG,

FIRASAT kebanyakan rakyat Malaysia tentang makna merdeka masih klise walaupun sudah lebih enam dekad berlalu, sedangkan skop merdeka membawa pengertian luas lebih-lebih lagi dari segi konteks Islam.

Amat menyedihkan apabila sebilangan warga Malaysia mempunyai sudut pandang yang serong. Mereka menganggap merdeka merupakan satu kenangan manis yang perlu diraikan dengan membiarkan mereka bebas melakukan apa sahaja, meskipun melanggar peraturan alam, undang-undang negara mahupun agama. Itu salah faham yang besar dan menyeleweng!

Sebagai rakyat, apakah tanggungjawab kita dalam konteks membina Keluarga Malaysia? Apakah pasak yang sesuai bagi mengukuhkan ruang sivik, keadilan dan demokrasi dalam membina negara bangsa Malaysia?

Masyarakat perlu memahami dengan sedalamnya bahawa Perlembagaan merupakan cermin kenyataan sejarah yang panjang yang merangkumi entiti Melayu, Islam, Bahasa Melayu, Institusi Diraja, dan Akta 153, kedudukan Melayu dalam negara. Dalam masa sama etnik lain bebas mengamalkan agama mereka dengan aman dan damai.

Dalam usaha menyemai tunas bangsa merdeka perlu dimulai dengan mengenali hak dan kewajipan sebagai warganegara agar dapat diperjuangkan secara demokratik, hak pilihan raya, isu rasuah, sumbangan tokoh-tokoh pejuang tanah air dan bersedia meneruskan cita-cita membangunkan negara untuk menjadi negara bangsa yang makmur, beradab, jati diri dan memiliki semangat patriotik terhadap negara.

Rakyat juga perlu disemai dengan memahami fungsi dan potensi Rukun Negara sebagai pandangan hidup dan jiwa bagi bangsa Malaysia. Rukun Negara juga memainkan peranan penting dan strategis sebagai medium menyatupadukan rakyat. Ia bukan sekadar teori tetapi bersifat praktis dan didukung oleh justifikasi agama.

Ringkasnya sebagai warganegara Malaysia, kita memiliki hak dan tanggungjawab termasuk dalam mendapat perlindungan dan jaminan keselamatan undang-undang serta kesejahteraan.

Apa yang penting dalam menyemai tunas merdeka ini setiap warganegara diwajibkan memberikan dukungan kepada agenda negara sesuai dengan peruntukan undang-undang.

Dengan demikian, hasrat membina warganegara sejahtera, saling menghormati, bertolak ansur, beradab serta kebebasan bersuara, berhimpun, beragama, berpolitik, hak kanak-kanak, hak wanita, hak orang kurang upaya, hak orang asal, hak pekerja dan sebagainya dapat dilaksanakan tanpa penyalahgunaan hak asasi manusia di negara ini. -UTUSAN

DR. AHMAD NASIR MOHD.",2025-08-08
Utusan Malaysia,Imej lebih dinamik - Utusan Malaysia,https://www.utusan.com.my/nasional/2019/03/imej-lebih-dinamik/,2019-03-19,,"Buat pertama kalinya Samsung Electronics melancarkan varian terbaharu Galaxy S yang berbeza daripada sebelumnya dari segi prestasi dan fungsi melalui Samsung Galaxy S10. Keluar daripada kepompong lazim, penawaran model ini menampilkan inovasi berfokuskan kepada aspek penggambaran dengan sokongan tiga kamera beresolusi 12MP dengan teknologi variable aperture (bukaan) f/1.5 dan f/2.4, lensa 12MP (f/2.4) dengan keupayaan dua kali zoom dan lensa ketiga beresolusi 16MP (f/2.2) untuk penggambaran bersudut luas.",2025-08-08
Utusan Malaysia,Ibu direman seminggu bantu siasatan kes dera anak - Utusan Malaysia,https://www.utusan.com.my/nasional/2022/09/ibu-direman-seminggu-bantu-siasatan-kes-dera-anak/,2022-09-17,,"KOTA BHARU: Seorang ibu direman seminggu bermula hari ini bagi membantu siasatan kes dera melibatkan anak lelakinya yang berusia lapan dalam kejadian di sebuah rumah di sini, enam bulan lalu.

Suspek yang berusia 36 tahun itu ditahan di sebuah rumah di Kok Lanas di sini kira-kira pukul 3.30 petang semalam selepas bekas suaminya atau bapa mangsa membuat laporan polis pada 10 Mac lalu.

Ketua Polis Daerah Kota Bharu, Asisten Komisioner Mohd. Rosdi Daud berkata, siasatan mendapati, bekas suami suspek mengetahui kejadian tersebut selepas menerima panggilan telefon daripada teman lelaki kepada wanita itu yang memaklumkan mengenai insiden yang berlaku pada 9 Mac.

Menurutnya, suspek didapati tinggal bersama anak lelakinya yang bersekolah di sini selepas bercerai dengan suaminya dua tahun lalu.

“Suspek bersama bekas suaminya berkahwin di Thailand pada 2012 dan mempunyai dua orang anak. Selepas bercerai, wanita itu menjaga anak lelakinya manakala bekas suaminya tinggal bersama anak perempuan di Tampin, Negeri Sembilan. Pada awalnya, bekas suami wanita itu cuba menyelesaikan masalah tersebut dengan suspek berhubung hak penjagaan mangsa,” katanya dalam satu kenyataan di sini hari ini.

Mohd. Rosdi memberitahu, mangsa telah dibawa ke Hospital Raja Perempuan Zainab II di sini dan menerima rawatan sebagai pesakit luar.

Katanya, kanak-kanak itu juga akan diserahkan kepada pihak Jabatan Kebajikan Masyarakat untuk tindakan lanjut.

“Suspek direman selamat tujuh hari bermula hari ini sehingga Jumaat depan dan kes disiasat mengikut Seksyen 31(1) Akta Kanak-Kanak 2001,” jelasnya.

Terdahulu, tular satu video berdurasi 26 saat di aplikasi TikTok yang memaparkan tindakan seorang wanita memukul anak lelakinya dengan menggunakan meja kayu sehingga kanak-kanak itu menangis.",2025-08-08
Utusan Malaysia,Zuraidah masih Bersatu,https://www.utusan.com.my/nasional/2022/02/zuraidah-masih-bersatu/,2022-02-07,,"PETALING JAYA: Desas-desus mengenai Menteri Perusahaan Perladangan dan Komoditi, Datuk Zuraida Kamaruddin keluar daripada Parti Pribumi Bersatu Malaysia (Bersatu) adalah tidak benar.

Presiden Bersatu, Tan Sri Muhyiddin Yassin berkata, Zuraida yang juga merupakan Ahli Parlimen Ampang itu masih ahli Majlis Pimpinan Tertinggi (MPT) Bersatu.

“Kita masih belum dapat membuat apa-apa keputusan mengenai beliau, walaupun sudah banyak khabar angin mengatakan beliau sudah memasuki parti lain tetapi sehingga sekarang ni saya tak dapat kenyataan sebenar berhubung perkara itu.

“Jadi secara ringkasnya beliau masih Ahli Majlis Tertinggi Bersatu dan kalau apa-apa perkembangan mungkin kita akan buat satu penilaian bukan sahaja sebagai Ahli Majlis Tertinggi tetapi turut sebagai Ahli Jemaah Menteri,” katanya semasa sidang media di Kuala Lumpur hari ini.

Terdahulu, akhbar melaporkan, Zuraida disingkirkan daripada kumpulan WhatsApp MPT Bersatu yang diaggotai lebih 30 ahli termasuk presiden parti tersebut ekoran kontroversi yang melanda pemimpin tersebut.

Malah, terdapat juga dakwaan, Zuraida bersama Menteri Perdagangan Antarabangsa dan Industri, Datuk Seri Mohamed Azmin Ali antara dua Ahli MPT Bersatu yang disebut-sebut bakal menyertai Parti Bangsa Malaysia (PBM).",2025-08-08
Utusan Malaysia,'Jangan fikir UMNO tidak ada akal sangat',https://www.utusan.com.my/nasional/2022/09/jangan-fikir-umno-tidak-ada-akal-sangat/,2022-09-18,,"KUALA LUMPUR: Kenyataan Presiden UMNO, Datuk Seri Dr. Ahmad Zahid Hamidi yang dikatakan bersedia menghadapi Pilihan Raya Umum ke-15 (PRU15) dalam keadaan banjir adalah sebagai ‘metafora’. Bercakap kepada Utusan Malaysia, ahli Majlis Kerja Tertinggi (MKT) UMNO, Datuk Seri Mohd. Sharkar Shamsudin berkata, kenyataan itu adalah bagi menjelaskan kesiapsiagaan UMNO menghadapi sebarang kemungkinan setelah tewas pada PRU ke-14 lalu.",2025-08-08
Utusan Malaysia,Bibi Ramjani serah surat hari ini - Utusan Malaysia,https://www.utusan.com.my/nasional/2019/06/bibi-ramjani-serah-surat-hari-ini/,2019-06-22,,"KUALA LUMPUR – Status Bibi Ramjani Ilias Khan yang tergantung bersama Persatuan Bola Sepak Kelantan (KAFA) akhirnya akan menemui penghujungnya apabila beliau bakal mengemukakan surat rasmi peletakan jawatannya sebagai Presiden KAFA dalam satu mesyuarat hari ini. Terdahulu, usahawan batik tersebut membuat keputusan mengejut apabila bertindak melepaskan jawatan Presiden KAFA berkuat kuasa serta-merta menerusi satu status yang dimuat naik melalui laman sosial Facebook miliknya Selasa lalu.",2025-08-08
Utusan Malaysia,Razali pertahankan jawatan Majlis Tertinggi - Utusan Malaysia,https://www.utusan.com.my/nasional/2018/06/razali-pertahankan-jawatan-majlis-tertinggi/,2018-06-12,,"MUAR 12 Jun – Ahli Majlis Tertinggi UMNO, Datuk Razali Ibrahim mengumumkan akan mempertahankan jawatan tersebut dalam pemilihan parti kali ini. RAZALI Beliau juga akan mempertahankan jawatan Ketua UMNO Bahagian Muar pada pemilihan 30 Jun ini. “Keputusan ini saya buat selepas mengambil kira pandangan kesemua ahli jawatankuasa dalam mesyuarat sebelum berbuka puasa tadi.",2025-08-08
